movie_id,director,producer,actor_1,actor_2,actor_3
1571,Len Wiseman,Michael Fottrell,Bruce Willis,Justin Long,Timothy Olyphant
120,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,Cate Blanchett
10204,Frank Coraci,Hal Lieberman,Jackie Chan,Steve Coogan,Cécile de France
8489,Michael Mann,Michael Mann,Will Smith,Jamie Foxx,Jon Voight
10588,Bo Welch,Brian Grazer,Mike Myers,Dakota Fanning,Spencer Breslin
2048,Alex Proyas,John Davis,Will Smith,Bridget Moynahan,Alan Tudyk
1495,Ridley Scott,Ridley Scott,Orlando Bloom,Eva Green,Jeremy Irons
10137,Rob Minkoff,Douglas Wick,Michael J. Fox,Geena Davis,Hugh Laurie
10198,Ron Clements,Peter Del Vecho,Anika Noni Rose,Bruno Campos,Keith David
286217,Ridley Scott,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig
1635,Michael Bay,Michael Bay,Ewan McGregor,Scarlett Johansson,Djimon Hounsou
24113,Peter Chelsom,NA,Warren Beatty,Diane Keaton,Goldie Hawn
9679,Dominic Sena,Jerry Bruckheimer,Nicolas Cage,Angelina Jolie,Giovanni Ribisi
98,Ridley Scott,David Franzoni,Russell Crowe,Joaquin Phoenix,Connie Nielsen
180,Steven Spielberg,Jan de Bont,Tom Cruise,Colin Farrell,Samantha Morton
672,Chris Columbus,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
36557,Martin Campbell,Barbara Broccoli,Daniel Craig,Eva Green,Mads Mikkelsen
869,Tim Burton,Richard D. Zanuck,Mark Wahlberg,Tim Roth,Helena Bonham Carter
280,James Cameron,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Robert Patrick
11322,Michael Mann,Michael Mann,Christian Bale,Johnny Depp,Giovanni Ribisi
4982,Ridley Scott,Brian Grazer,Denzel Washington,Russell Crowe,Chiwetel Ejiofor
36955,James Cameron,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold
18487,Tony Scott,Richard Baratta,Denzel Washington,John Travolta,Luis Guzmán
39451,Paul Weitz,Robert De Niro,Robert De Niro,Ben Stiller,Owen Wilson
27581,Adam McKay,Will Ferrell,Will Ferrell,Mark Wahlberg,Eva Mendes
9268,Chuck Russell,Arnold Kopelson,Arnold Schwarzenegger,James Caan,Vanessa Williams
68718,Quentin Tarantino,Stacey Sher,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
10545,Gary Trousdale,Don Hahn,Tom Hulce,Demi Moore,Tony Jay
11688,Mark Dindal,Randy Fullmer,David Spade,John Goodman,Eartha Kitt
76163,Simon West,Kevin King Templeton,Sylvester Stallone,Jason Statham,Dolph Lundgren
2059,Jon Turteltaub,Jerry Bruckheimer,Nicolas Cage,Diane Kruger,Justin Bartha
2486,Stefen Fangmeier,John Davis,Ed Speleers,Jeremy Irons,Sienna Guillory
16523,Spike Jonze,Tom Hanks,Max Records,Catherine Keener,Lauren Ambrose
116711,Chris Wedge,Lori Forte,Josh Hutcherson,Amanda Seyfried,Colin Farrell
37710,Florian Henckel von Donnersmarck,Roger Birnbaum,Johnny Depp,Angelina Jolie,Paul Bettany
9946,Peter Hyams,Armyan Bernstein,Arnold Schwarzenegger,Gabriel Byrne,Kevin Pollak
1372,Edward Zwick,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly
106646,Martin Scorsese,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
